motion_thresh,med_rsq,CI_95,n,age_l,age_u,med_age_motion_r_a,med_age_motion_p_a,med_age_motion_r_b,med_age_motion_p_b
5.0,-1.08818019688,2.53923698681,10.0,6.0,18.0,-0.0546431978493,0.60470412465,-0.0975901880303,0.48900022017
5.0,-1.07671845439,2.2673357044,20.0,6.0,18.0,-0.0254205056939,0.516058361558,-0.0789513764075,0.55132874537
5.0,-1.02411363048,1.78520929749,30.0,6.0,18.0,-0.0448507697349,0.578095361563,-0.0881323873053,0.483811340246
5.0,-0.98062563155,1.78937124761,40.0,6.0,18.0,-0.0548069824458,0.531980108894,-0.039989440405,0.563193160657
5.0,-0.867753470206,1.86124838341,50.0,6.0,18.0,-0.05898684513,0.546878125259,-0.0597405936814,0.526398577904
5.0,-0.890947655363,1.97098704721,60.0,6.0,18.0,-0.0573085092692,0.528473082862,-0.0763053722625,0.440451002358
5.0,-0.834075852395,2.41557767382,70.0,6.0,18.0,-0.0547637182815,0.517092671152,-0.0532677079718,0.475518677207
5.0,-0.74517372605,2.02016738026,80.0,6.0,18.0,-0.0459645236578,0.536935771703,-0.0542424673232,0.492760418388
5.0,-0.750696432977,1.90830818375,90.0,6.0,18.0,-0.053208443043,0.529676782266,-0.0455691441228,0.553587969138
5.0,-0.651332695443,2.11983346159,100.0,6.0,18.0,-0.0680646430891,0.472707043894,-0.0630989608297,0.444140902438
10.0,-1.18542756187,2.38879522869,10.0,6.0,18.0,-0.118194916335,0.464112747784,-0.150577284405,0.483120936295
10.0,-1.1935857953,2.31747555548,20.0,6.0,18.0,-0.158424452165,0.413859585524,-0.171610124372,0.379464244179
10.0,-0.948234238775,2.62888895632,30.0,6.0,18.0,-0.101410968413,0.416976379554,-0.131153919198,0.400202382263
10.0,-1.03776095316,1.83135346264,40.0,6.0,18.0,-0.131037245401,0.397763281751,-0.154058604211,0.332968264488
10.0,-0.888175004779,2.80353916676,50.0,6.0,18.0,-0.128375003565,0.33416108435,-0.142654401949,0.310278381851
10.0,-0.889783482086,1.69218108795,60.0,6.0,18.0,-0.112850186786,0.38920924492,-0.138205536416,0.292335053087
10.0,-0.856803522631,2.29328542703,70.0,6.0,18.0,-0.123080252434,0.294798788106,-0.118197845799,0.321720088941
10.0,-0.856544580021,2.04699779956,80.0,6.0,18.0,-0.147131304101,0.17982127221,-0.129815972775,0.238170189682
10.0,-0.685718774376,2.03336598841,90.0,6.0,18.0,-0.145847395287,0.170212176899,-0.115881985819,0.270238672382
10.0,-0.746022363742,3.1475012792,100.0,6.0,18.0,-0.136196142192,0.17667236563,-0.121399917897,0.220540445091
15.0,-1.21968315234,3.22445966492,10.0,6.0,18.0,-0.188367136795,0.408835600745,-0.160956435074,0.460403742656
15.0,-1.05499066444,2.22437413315,20.0,6.0,18.0,-0.0986060818196,0.511497069599,-0.156307121939,0.424595196114
15.0,-1.09315300834,3.87658284602,30.0,6.0,18.0,-0.160544993408,0.371064564521,-0.171325711996,0.358844891874
15.0,-0.960728864554,2.06710811787,40.0,6.0,18.0,-0.150563895266,0.34300450265,-0.167868241448,0.289962434392
15.0,-1.02827175285,2.63103761093,50.0,6.0,18.0,-0.129110965706,0.334219579205,-0.176281201975,0.206490937225
15.0,-0.894122158825,2.9581509023,60.0,6.0,18.0,-0.16188404146,0.209394708052,-0.172694202735,0.180894034408
15.0,-0.912513435547,2.88600145301,70.0,6.0,18.0,-0.146233092706,0.227066930767,-0.17822061532,0.13994151234
15.0,-0.768383297688,2.80494935873,80.0,6.0,18.0,-0.141148961729,0.211727721884,-0.17996712099,0.110173881777
15.0,-0.720827140765,2.2016391303,90.0,6.0,18.0,-0.15555019109,0.14320008345,-0.157439648463,0.138353198171
15.0,-0.786619274112,1.72704519601,100.0,6.0,18.0,-0.163379490812,0.104335869024,-0.135572288734,0.178659941926
20.0,-1.34866437658,2.95346962531,10.0,6.0,18.0,-0.154322694736,0.398741172934,-0.0972389105654,0.513228167186
20.0,-1.13138259453,3.06177180571,20.0,6.0,18.0,-0.109667369323,0.403246403932,-0.160269596097,0.389919958883
20.0,-1.0407922153,2.90876338822,30.0,6.0,18.0,-0.0985494562737,0.436227322447,-0.163784443235,0.324895247884
