motion_thresh,med_rsq,CI_95,med_icc,CI_95_icc,n,age_l,age_u
50.0,0.867494872124,0.151403788199,0.934376040726,0.0746091230538,20.0,6.0,18.0
65.0,0.909818417256,0.147217011196,0.955486401666,0.0645394062064,30.0,6.0,18.0
60.0,0.972701795762,0.0376056113455,0.98622421162,0.0171840004283,100.0,6.0,18.0
35.0,0.967342355667,0.0529163346841,0.983659083345,0.0250681265937,80.0,6.0,18.0
60.0,0.953668821072,0.076056409767,0.976973492073,0.0359983231686,60.0,6.0,18.0
70.0,0.932666602608,0.0713707071925,0.966216529943,0.038950266894,40.0,6.0,18.0
75.0,0.952365930705,0.0757697092617,0.976406766546,0.0376275773141,60.0,6.0,18.0
30.0,0.87105027783,0.143840074324,0.934478270178,0.0675077572422,20.0,6.0,18.0
10.0,0.955484020851,0.0697624220199,0.977592129151,0.0333549110986,60.0,6.0,18.0
70.0,0.748663570256,0.459194162275,0.873807371406,0.193844442325,10.0,6.0,18.0
50.0,0.971193156946,0.0431122137147,0.985595708853,0.0217472230284,90.0,6.0,18.0
30.0,0.968099302802,0.0471779655311,0.984185999575,0.0241580305565,90.0,6.0,18.0
10.0,0.945327727452,0.0760857994263,0.973001217144,0.0375621170799,50.0,6.0,18.0
65.0,0.945452406875,0.102964823233,0.972276997775,0.0531449247254,50.0,6.0,18.0
75.0,0.960243087271,0.0737102327037,0.980213580539,0.0342591349205,70.0,6.0,18.0
80.0,0.961761586539,0.0421487241568,0.980986041661,0.0209935847443,70.0,6.0,18.0
55.0,0.749228547819,0.513269047941,0.875255863843,0.220892257928,10.0,6.0,18.0
10.0,0.966197583509,0.0395022545137,0.983265075686,0.0182282792194,80.0,6.0,18.0
5.0,0.970781438559,0.0407234308643,0.985399129819,0.0196977169487,90.0,6.0,18.0
20.0,0.969896041415,0.03984419023,0.985119359206,0.0198363845878,90.0,6.0,18.0
60.0,0.943405315451,0.0816396043837,0.971536351139,0.036571072765,50.0,6.0,18.0
25.0,0.96994662391,0.0292724353257,0.985025869766,0.0136402184258,90.0,6.0,18.0
40.0,0.947206528309,0.0718603782818,0.973191989009,0.0356213952151,50.0,6.0,18.0
35.0,0.97111751824,0.0423998714402,0.985613512241,0.0220903527747,90.0,6.0,18.0
65.0,0.968640713077,0.0532485618316,0.984369227047,0.0251391854379,90.0,6.0,18.0
80.0,0.725241094667,0.348954965306,0.863598470893,0.139821386566,10.0,6.0,18.0
10.0,0.746442111032,0.264697453537,0.871999329607,0.127636482734,10.0,6.0,18.0
65.0,0.952175923315,0.0625030867401,0.976400254745,0.0322239188708,60.0,6.0,18.0
25.0,0.869814096778,0.190025926722,0.935589778372,0.0826662306441,20.0,6.0,18.0
45.0,0.973521427051,0.0408734590356,0.98667600291,0.0205807752398,100.0,6.0,18.0
65.0,0.931737769429,0.139406864096,0.965784457265,0.0606537212614,40.0,6.0,18.0
65.0,0.963841032882,0.0557756333834,0.981931320365,0.027466752468,70.0,6.0,18.0
15.0,0.933684427212,0.0994827064269,0.967476493269,0.0482897128194,40.0,6.0,18.0
55.0,0.970018287199,0.0489797037659,0.985096414368,0.025368984545,90.0,6.0,18.0
15.0,0.913145235651,0.168076490518,0.956114957203,0.0749096390787,30.0,6.0,18.0
70.0,0.952909976864,0.0842695622367,0.976505654404,0.0402978363953,60.0,6.0,18.0
15.0,0.748618969639,0.383055555723,0.873830470152,0.159217731992,10.0,6.0,18.0
15.0,0.965541405833,0.0664774661123,0.982862031448,0.0310574562404,80.0,6.0,18.0
75.0,0.932837019157,0.0938492464415,0.966757788923,0.0461402792121,40.0,6.0,18.0
25.0,0.948305102408,0.07186683626,0.974288527843,0.0366595307717,50.0,6.0,18.0
65.0,0.96362033077,0.0492149947288,0.982201805883,0.0244875804534,80.0,6.0,18.0
10.0,0.933496017433,0.0797070636477,0.966784523878,0.0375935350314,40.0,6.0,18.0
20.0,0.933371405509,0.0807433665372,0.967288948874,0.039223430093,40.0,6.0,18.0
45.0,0.962195470449,0.0676168635721,0.981109958439,0.0346333564763,70.0,6.0,18.0
5.0,0.967101482991,0.0411182703779,0.983687110675,0.0195299817162,80.0,6.0,18.0
35.0,0.95758517198,0.0671767873416,0.978719436604,0.0319956679677,60.0,6.0,18.0
45.0,0.967297866091,0.0531336065989,0.983792558795,0.024189085136,90.0,6.0,18.0
35.0,0.947781465018,0.108442719229,0.973975192076,0.0536005103082,50.0,6.0,18.0
