motion_thresh,med_rsq,CI_95,med_icc,CI_95_icc,n,age_l,age_u
50.0,0.979466046055,0.0443991716998,0.989746617536,0.0227723217202,210.0,10.0,13.0
15.0,0.970453554005,0.0566719184665,0.985380972169,0.0284679734877,180.0,13.0,16.0
5.0,0.954878540331,0.0409378051731,0.977495540427,0.0208102098167,120.0,15.0,18.0
20.0,0.981126889333,0.0178797881621,0.990507273309,0.00919476892305,270.0,12.0,15.0
10.0,0.937576576603,0.0610320953924,0.968358415531,0.0315405603764,60.0,6.0,9.0
20.0,0.956935748122,0.0507715580808,0.978726001192,0.0238635491847,60.0,9.0,12.0
15.0,0.976781428889,0.0204228048908,0.98813875888,0.0104771702086,300.0,10.0,13.0
30.0,0.913638246262,0.164758886629,0.956130942685,0.0780301791827,30.0,14.0,17.0
45.0,0.969578367026,0.0436140613514,0.985101597004,0.0210024806877,240.0,7.0,10.0
20.0,0.978351060382,0.0226044385841,0.989087365373,0.0107350157454,120.0,13.0,16.0
20.0,0.913364459792,0.167423743934,0.956240686027,0.0825370284755,30.0,14.0,17.0
30.0,0.952633353312,0.0600930765058,0.976368172798,0.0308778934115,60.0,8.0,11.0
25.0,0.952690930463,0.0700784022949,0.97606672162,0.036900410404,120.0,6.0,9.0
5.0,0.931171468234,0.0652014798997,0.965413563902,0.0332712247377,180.0,7.0,10.0
5.0,0.954497741445,0.0425687339795,0.976996308519,0.0204703254419,300.0,9.0,12.0
10.0,0.96464382733,0.0331336814832,0.982452241248,0.0163769127432,240.0,8.0,11.0
10.0,0.970333056366,0.0443128860291,0.985270696582,0.0212509755255,90.0,14.0,17.0
5.0,0.971607942691,0.0184945872912,0.985814350533,0.00946372793978,150.0,12.0,15.0
5.0,0.960293546664,0.0388580743746,0.980010678355,0.0192442860811,300.0,10.0,13.0
5.0,0.95774316198,0.0309651125497,0.978760109215,0.0151735618591,210.0,15.0,18.0
30.0,0.971739378069,0.032877641163,0.985987889888,0.0168383422175,210.0,15.0,18.0
25.0,0.981482880832,0.0258421959848,0.990754740852,0.0131443666122,180.0,11.0,14.0
15.0,0.969661762972,0.0426987970123,0.984973712999,0.0209235151223,90.0,13.0,16.0
35.0,0.908052477629,0.133386457415,0.954116636778,0.065229947912,30.0,8.0,11.0
50.0,0.969868314436,0.0529397135437,0.985027992121,0.0247346132368,90.0,9.0,12.0
50.0,0.977814634243,0.043556485998,0.988777924017,0.0222490305005,120.0,10.0,13.0
50.0,0.973271443339,0.037910477143,0.98656583248,0.0197001477746,180.0,15.0,18.0
5.0,0.956203110215,0.0438515585389,0.978014011316,0.0207897277907,240.0,9.0,12.0
35.0,0.956724554967,0.0512694920965,0.978398581498,0.0265639425521,180.0,6.0,9.0
5.0,0.95673152985,0.0374812919979,0.978134938655,0.0182864538339,60.0,9.0,12.0
10.0,0.955277383813,0.0466950019641,0.977401905374,0.021989805116,180.0,7.0,10.0
25.0,0.958094913966,0.0601384963617,0.978768105077,0.0294100431208,60.0,10.0,13.0
50.0,0.979652039997,0.0348405821022,0.989841446186,0.0168556684821,150.0,13.0,16.0
50.0,0.98316679385,0.025276785919,0.991636710076,0.0128080060316,210.0,12.0,15.0
20.0,0.956894520221,0.0596400384523,0.978267724692,0.0289345289335,60.0,10.0,13.0
30.0,0.969988983823,0.0272618759525,0.985187119344,0.0137239190934,210.0,7.0,10.0
25.0,0.978351897558,0.0201000068462,0.989196334075,0.00969075969295,300.0,9.0,12.0
10.0,0.955452202864,0.0541094410816,0.977990704261,0.0250356842055,60.0,9.0,12.0
40.0,0.956506224944,0.0605359750247,0.978502992408,0.0313418204049,120.0,6.0,9.0
5.0,0.955609589614,0.0581574696043,0.977727743288,0.0279142277964,60.0,14.0,17.0
20.0,0.981470790549,0.0136423090817,0.990703084226,0.00719499659736,210.0,12.0,15.0
40.0,0.95741146758,0.0551666696986,0.978663993643,0.0267219135761,210.0,6.0,9.0
45.0,0.983374573239,0.0200985288579,0.991659558194,0.00973324492167,180.0,11.0,14.0
40.0,0.969717597904,0.0309086044241,0.985166466023,0.0154145449581,150.0,7.0,10.0
